Quarter,Community Drinking Water Systems,Atrazine-System Means (mcg/L),Population Served
2008 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"37,290"
2009 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"37,290"
2009 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"37,290"
2009 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"37,290"
2009 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"37,290"
2010 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"37,290"
2010 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"37,290"
2010 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"37,290"
2010 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"37,290"
2011 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"37,290"
2011 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"37,290"
2011 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"37,290"
2011 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"37,290"
2012 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,0.1,"38,500"
2012 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,0.1,"38,500"
2012 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,0.1,"38,500"
2012 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,0.1,"38,500"
2013 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,0.1,"38,500"
2013 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,0.1,"38,500"
2013 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,0.1,"38,500"
2013 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,0.1,"38,500"
2014 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,0.1,"38,500"
2014 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,0.1,"38,500"
2014 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,0.1,"38,500"
2014 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,0.1,"38,500"
2015 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,0.1,"38,500"
2015 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,0.1,"38,500"
2015 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,0.1,"38,500"
2015 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,0.1,"38,500"
2016 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,0.1,"38,500"
2016 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,0.1,"38,500"
2016 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,0.1,"38,500"
2016 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,0.1,"38,500"
2017 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"38,500"
2017 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"38,500"
2017 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"38,500"
2017 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"38,500"
